sku,productName,category,price,unitsSold,inStock
DF97D1A1,Train Set,Toys & Games,65.15,696,true
2B9FD571,Gift Card,Miscellaneous,47.03,715,true
2BCA2BA7,4K TV,Electronics,5.60,189,true
2ADD1849,Gift Card,Miscellaneous,48.40,110,true
3B3A42FC,Fishing Rod,Sports & Outdoors,15.83,875,false
B02E612B,Electric Kettle,Home & Kitchen,54.41,238,true
DDD8494B,Children's Book,Books,43.39,889,true
09852F5F,Gift Card,Miscellaneous,21.96,272,false
C781C527,Young Adult Novel,Books,66.26,814,true
02C28D4A,Cacao Nibs,Food & Grocery,19.89,948,true
AFE777D7,Biography,Books,41.29,807,true
9869C92C,Gift Card,Miscellaneous,55.23,723,true
71BBCDEB,Spirulina Powder,Food & Grocery,11.01,555,true
CDB86958,Women's Summer Dress,Clothing,7.44,198,true
14A08C9A,Massage Gun,Health & Personal Care,35.51,226,true
13C57A3B,Essential Oil Diffuser,Health & Personal Care,61.36,94,true
F423EE17,Vitamin C Supplement,Health & Personal Care,88.78,98,true
3964E03F,Gift Card,Miscellaneous,60.51,670,true
061FB2E5,Ice Cream Maker,Home & Kitchen,39.72,19,false
5BFF1935,Whole Grain Pasta,Food & Grocery,57.94,74,false
D3278D6F,Swim Goggles,Sports & Outdoors,86.23,260,true
30DA8AF0,Sous Vide Cooker,Home & Kitchen,51.45,798,false
CE1758FF,Kids' T-Shirt,Clothing,16.14,875,true
E330CDC4,Science Book,Books,52.61,810,true
863B8007,Children's Book,Books,71.26,85,true
E18F5555,Dumbbell Set,Sports & Outdoors,22.82,361,true
5783DAB4,Kayak,Sports & Outdoors,31.25,54,true
5CDB94EF,Skateboard,Sports & Outdoors,66.78,628,true
E65B6D6B,Smart Home Hub,Electronics,10.14,733,true
5D2148CA,Photography Book,Books,88.06,656,true
8EA0667A,Lip Balm Set,Health & Personal Care,35.05,720,true
DB229526,Digital Camera,Electronics,14.61,978,false
328B733F,Organic Popcorn,Food & Grocery,49.47,747,false
6ADE0563,Herbal Tea Pack,Food & Grocery,97.82,565,true
A1634B98,Gift Card,Miscellaneous,41.45,251,true
163A3D54,Pumpkin Seeds,Food & Grocery,89.89,758,true
559DBC7D,Basketball,Sports & Outdoors,3.63,929,true
F0A6A1E7,Photography Book,Books,48.85,832,true
