sku,productName,category,price,unitsSold,inStock
077610D1,Gift Card,Miscellaneous,28.56,954,true
CF79F545,Hair Straightener,Health & Personal Care,98.06,335,true
6D2325D3,Drone,Electronics,55.61,283,true
D6DC7CC4,Herbal Tea Pack,Food & Grocery,80.62,269,true
5543CA4D,Popcorn Maker,Home & Kitchen,92.11,828,true
BF09C190,Coffee Grinder,Home & Kitchen,64.71,680,true
691F39A7,Smartphone,Electronics,77.68,981,true
D418ACE2,Educational Toy,Toys & Games,40.77,536,true
17E1A1BA,Historical Fiction,Books,7.63,721,false
8634CC40,Lip Balm Set,Health & Personal Care,53.83,731,true
D0894869,Gift Card,Miscellaneous,50.02,621,true
DAFC60E1,Smart Home Hub,Electronics,60.05,824,true
FD430B8E,Fantasy Novel,Books,71.56,604,true
C9AED250,Cold-Pressed Juice,Food & Grocery,17.49,925,true
CFD4E9BC,Men's Running Shoes,Clothing,39.96,909,true
B7753324,Unisex Hoodie,Clothing,48.67,62,true
1D64383F,Golf Clubs,Sports & Outdoors,19.54,403,true
40C15C86,Photography Book,Books,23.92,66,true
B727BF83,Men's Raincoat,Clothing,28.40,871,true
6700A5DA,Whole Grain Pasta,Food & Grocery,49.61,720,true
4749842F,Gift Card,Miscellaneous,48.18,317,true
12B6D768,Hand Sanitizer,Health & Personal Care,25.97,637,true
EC405BA3,Kids' Hat,Clothing,6.46,592,true
EAEC1BFF,Almond Milk,Food & Grocery,60.72,260,true
093904E3,Organic Popcorn,Food & Grocery,71.10,188,true
E6627BBF,Digital Camera,Electronics,8.84,48,true
850AE49F,Finger Paint Set,Toys & Games,95.36,468,true
A8A7C555,Electric Kettle,Home & Kitchen,53.34,421,true
2F878921,Graphic Novel,Books,78.37,681,true
1F3B7C09,Children's Book,Books,21.29,85,true
977670E2,Vacuum Cleaner,Home & Kitchen,17.53,714,false
534BC958,Children's Book,Books,94.33,495,true
ADE388DA,Gift Card,Miscellaneous,56.12,842,true
4B584068,Foam Roller,Health & Personal Care,25.24,926,true
08D0EE6D,Drone,Electronics,34.28,784,true
6C595F62,Drone,Electronics,89.35,402,false
61DE7E31,Turmeric Powder,Food & Grocery,54.90,73,true
0D7C50AC,Photography Book,Books,21.57,606,true
1D719CC5,Women's Handbag,Clothing,17.05,942,true
6ACB57EE,Men's Raincoat,Clothing,7.70,434,true
94542AE7,Cycling Helmet,Sports & Outdoors,51.30,895,true
1105E2DE,Women's Handbag,Clothing,95.19,68,true
D7AAABBF,Travel Guide,Books,57.23,955,true
0AEFA64C,Kids' Sneakers,Clothing,35.33,113,true
997DF868,Wireless Charger,Electronics,46.86,817,true
EE87BABF,Men's Casual Shirt,Clothing,52.03,553,false
72345078,Sleep Mask,Health & Personal Care,75.58,740,true
428AFDB2,Granola Cereal,Food & Grocery,95.02,198,true
90D43F68,Blender,Home & Kitchen,88.64,114,true
9F51AD76,Science Fiction Book,Books,69.53,128,true
B288AE36,Men's Formal Suit,Clothing,46.14,250,true
84DEFE28,Men's Formal Suit,Clothing,97.49,251,true
F706AC73,Bluetooth Speaker,Electronics,39.35,943,true
FAC0B859,Building Blocks Set,Toys & Games,50.09,342,true
95943F65,Gift Card,Miscellaneous,94.73,16,true
E853AADE,Magic Kit,Toys & Games,13.05,338,true
05643C3B,Coffee Grinder,Home & Kitchen,92.80,905,true
F1B338D3,Cycling Helmet,Sports & Outdoors,44.60,424,true
66BDA42D,Men's Leather Jacket,Clothing,9.93,466,false
E05EE503,Magic Kit,Toys & Games,90.67,500,false
5DD2F10F,Poetry Collection,Books,3.48,37,true
D356C0BC,Gift Card,Miscellaneous,76.87,342,true
